nct_id,entity_source_text,concept_id,concept_name,domain,start_index,end_index,temporal_source_text,days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion
NCT04363437,diltiazem,1328165,Diltiazem,Drug,1662,1671,,0,,-99999,99999,1
NCT01306084,viral infection,440029,Viral disease,Condition,324,339,,0,,-99999,99999,0
NCT02735707,inotropes,723640,Positive Inotropic Agents,Drug,521,530,,0,,-99999,99999,0
NCT02735707,vasopressor,1507835,Vasopressin (USP),Drug,506,517,,0,,-99999,99999,0
NCT02735707,Non-invasive ventilatory support,44790095,Invasive ventilation,Procedure,438,482,Up to 48 hours after ICU admission,2,,-99999,99999,0
NCT02735707,Invasive ventilatory support,44790095,Invasive ventilation,Procedure,454,482,Up to 48 hours after ICU admission,2,,-99999,99999,0
NCT02735707,Radiological evidence of new onset consolidation,4318404,Lung consolidation,Condition,223,271,within the last 30 days,30,,-99999,99999,0
NCT02735707,CAP,4293463,Community acquired pneumonia,Condition,85,88,within the last 30 days,30,,-99999,99999,0
NCT03348670,heart rate,45876226,Heart rate,Measurement,615,625,,0,90 beats per minute,90,99999,0
NCT03348670,saturation of oxygen (SpO2),4096101,Measurement of oxygen saturation at periphery,Measurement,555,582,,0,> 93%,93,99999,0
NCT03348670,respiratory rate,4313591,Respiratory rate,Measurement,514,530,,0,20 breaths per minute,20,99999,0
NCT03348670,shortness of breath with exertion,312437,Dyspnea,Condition,411,444,,0,,-99999,99999,0
NCT03348670,Allergy,9999,Allergy to study medication,Condition,877,884,,0,,-99999,99999,1
NCT03348670,Bleed Tendency,432585,Blood coagulation disorder,Condition,896,910,,0,,-99999,99999,1
NCT03348670,COVID-19,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,243,251,,0,,-99999,99999,0
NCT03348670,standard RT-PCR assay or equivalent testing,4161294,PCR test for SARS,Measurement,272,315,,0,Positive,-99999,99999,0
NCT03348670,Pregnancy,4299535,Patient currently pregnant,Condition,781,790,,0,,-99999,99999,1
NCT03376854,bilateral pulmonary infiltrates,4249557,Radiologic infiltrate of lung,Condition,236,267,within 30 days of enrollment,30,,-99999,99999,0
NCT03376854,OSA,45615942,"Sleep Apnea, Obstructive",Condition,1420,1423,within 30 days of enrollment,30,,-99999,99999,0
NCT03376854,endotracheal tube,4097216,Endotracheal tube,Device,128,145,,0,,-99999,99999,0
NCT03376854,mechanically ventilated,40493026,Mechanical ventilator,Device,175,198,within 30 days of enrollment,30,,-99999,99999,0
NCT03376854,CRRT,37018292,Continuous renal replacement therapy,Procedure,869,873,within 30 days of enrollment,30,,-99999,99999,0
NCT03376854,tracheostomy,4168133,Incision of trachea,Procedure,149,161,,0,,-99999,99999,0
NCT03376854,Child-Pugh,37016292,Child-Pugh score,Measurement,1671,1681,within 30 days of enrollment,30,15-Dec,12,15,1
NCT03376854,PEEP,3022875,Positive end expiratory pressure setting Ventilator,Measurement,528,532,within 30 days of enrollment,30,8 cm H2O,2,8,1
NCT03376854,surgical intervention,45888085,Surgery,Procedure,1019,1043,,0,,-99999,99999,1
NCT03376854,Core temperature,3006322,Oral temperature,Measurement,825,841,within 30 days of enrollment,30,<35.5C,-99999,35.5,1
NCT03376854,Platelets uncorrected,4267147,Platelet count,Measurement,1045,1076,within 30 days of enrollment,30,<10K/mm3,-99999,10,1
NCT03376854,P/F ratio,4233883,Ratio of arterial oxygen tension to inspired oxygen fraction,Measurement,508,517,within 30 days of enrollment,30,<200,-99999,200,1
NCT03376854,blood products,21601137,Blood and Related Products,Drug,997,1011,,0,>3u,3,99999,1
NCT03376854,norepinephrine,1321341,Norepinephrine,Drug,771,785,within 30 days of enrollment,30,> 0.2 mcg/kg/min or equivalent dose,0.2,99999,1
NCT03376854,BMI,44783982,Measurement of body mass index,Measurement,1454,1457,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,burns,442013,Burn,Condition,1605,1610,within 30 days of enrollment,30,>20% of the body surface,20,99999,1
NCT03376854,Cardiac arrest,321042,Cardiac arrest,Condition,1561,1575,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,Acute Coronary Syndrome,4215140,Acute coronary syndrome,Condition,1502,1525,past 30 days,30,,-99999,99999,1
NCT03376854,bleeding,437312,Bleeding,Condition,983,991,,0,,-99999,99999,1
NCT03376854,chronic liver disease,4212540,Chronic liver disease,Condition,1648,1669,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,lung disease,257907,Disorder of lung,Condition,1374,1386,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,heart disease,321588,Heart disease,Condition,1488,1501,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,hematologic malignancy,4044013,Hematologic neoplasm,Condition,1085,1107,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,hypotension,317002,Low blood pressure,Condition,738,749,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,MI,4329847,Myocardial infarction,Condition,1540,1542,past 30 days,30,,-99999,99999,1
NCT03376854,unstable angina,1413763,Unstable angina,Condition,1544,1559,past 30 days,30,,-99999,99999,1
NCT03376854,home O2,44338274,ACTIV O2 ACNE TREATMENT - salicylic acid lotion,Drug,1391,1398,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,NYHA class,4223299,New York Heart Association Classification,Measurement,1474,1484,within 30 days of enrollment,30,IV,-99999,99999,1
NCT03376854,BIPAP,42358435,BIPAP Treatment,Procedure,1402,1407,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,IR intervention,4081708,Interventional radiology,Procedure,1028,1043,,0,,-99999,99999,1
NCT03376854,lung transplantation,4337138,Transplant of lung,Procedure,1431,1451,within 30 days of enrollment,30,,-99999,99999,1
NCT03376854,COVID-19,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,35,43,within 30 days of enrollment,30,,-99999,99999,0
NCT03452774,hematological malignancies,4147164,Malignant tumor of lymphoid hemopoietic and related tissue,Condition,40,66,,0,,-99999,99999,0
NCT03452774,solid malignancies,4312326,"Neoplasm, malignant",Condition,30,66,,0,,-99999,99999,0
NCT03452774,Abnormal organ function,443207,Single organ dysfunction,Condition,1344,1367,,0,,-99999,99999,1
NCT03452774,ECOG PS,36305384,ECOG Performance Status score,Measurement,1331,1338,,0,> 2,2,99999,1
NCT03648372,Eastern Cooperative Oncology Group (ECOG) performance status,4167763,ECOG scale for physical assessment,Measurement,74,134,History of,0,0 to 1,0,1,0
NCT03648372,Eastern Cooperative Oncology Group (ECOG) performance status,4167763,ECOG scale for physical assessment,Measurement,74,134,<=4 weeks before the start of treatment,28,0 to 1,0,1,0
NCT03648372,NEWS,44808684,National early warning score,Measurement,1867,1871,,0,<=6,-99999,6,0
NCT03648372,peripheral capillary oxygen saturation (SpO2),4095045,Capillary oxygen saturation measurement,Measurement,1744,1789,History of,0,>91 percentage (%),91,99999,0
NCT03648372,follicular lymphoma,4147411,Follicular non-Hodgkin's lymphoma,Condition,670,689,,0,,-99999,99999,0
NCT03648372,Surgically sterile,4311387,Infertile,Condition,3962,3980,for at least 1 year before the screening visit,365,,-99999,99999,0
NCT03648372,atrial fibrillation,313217,Atrial fibrillation,Condition,7143,7162,History of,0,,-99999,99999,0
NCT03648372,atrial fibrillation,313217,Atrial fibrillation,Condition,7143,7162,<=4 weeks before the start of treatment,28,,-99999,99999,0
NCT03648372,hematologic malignancy,4044013,Hematologic neoplasm,Condition,1468,1490,current,10000,,-99999,99999,0
NCT03648372,Surgically sterile,4311387,Infertile,Condition,3962,3980,for at least 1 year before the screening visit,365,,-99999,99999,0
NCT03648372,Adequate hepatic function,4115573,Liver normal,Condition,2157,2216,,0,,-99999,99999,0
NCT03648372,Adequate hepatic function,4115573,Liver normal,Condition,2157,2216,,0,,-99999,99999,0
NCT03648372,low grade lymphomas,35125585,Low grade lymphoma,Condition,642,661,,0,,-99999,99999,0
NCT03648372,lymphoma,432571,Malignant lymphoma,Condition,518,526,,0,,-99999,99999,0
NCT03648372,small lymphocytic lymphoma,4119130,Malignant lymphoma - small lymphocytic,Condition,691,717,,0,,-99999,99999,0
NCT03648372,lymphoplasmacytoid lymphoma,4000173,"Malignant lymphoma, lymphoplasmacytic",Condition,719,746,,0,,-99999,99999,0
NCT03648372,marginal zone lymphomas,40490918,Marginal zone lymphoma,Condition,752,775,,0,,-99999,99999,0
NCT03648372,solid tumor,4030314,Neoplasm,Condition,1433,1444,current,10000,,-99999,99999,0
NCT03648372,solid tumors,4030314,Neoplasm,Condition,367,379,<=4 weeks before the start of treatment,28,,-99999,99999,0
NCT03648372,Adequate renal function,4217308,Normal renal function,Condition,2157,2216,,0,,-99999,99999,0
NCT03648372,Adequate renal function,4217308,Normal renal function,Condition,2157,2216,,0,,-99999,99999,0
NCT03648372,chloroquine,1792515,Chloroquine,Drug,6495,6506,History of,0,,-99999,99999,0
NCT03648372,hydroxychloroquine,1777087,Hydroxychloroquine,Drug,6473,6491,History of,0,,-99999,99999,0
NCT03648372,Lymphomas,432571,Malignant lymphoma,Condition,8583,8592,History of,0,,-99999,99999,1
NCT03648372,alcohol abuse,433753,Alcohol abuse,Condition,7665,7678,,0,,-99999,99999,1
NCT03648372,alcohol abuse,433753,Alcohol abuse,Condition,7665,7678,,0,,-99999,99999,1
NCT03648372,autoimmune disease,434621,Autoimmune disease,Condition,7692,7710,History of,0,,-99999,99999,1
